Data provided by SimFin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,in million USD,Q3 '09,Q4 '09,Q1 '10,Q2 '10,Q3 '10,Q4 '10,Q1 '11,Q2 '11,Q3 '11,Q4 '11,Q1 '12,Q2 '12,Q3 '12,Q4 '12,Q1 '13,Q2 '13,Q3 '13,Q4 '13,Q1 '14,Q2 '14,Q3 '14,Q4 '14,Q1 '15,Q2 '15,Q3 '15,Q4 '15,Q1 '16,Q2 '16,Q3 '16,Q4 '16,Q1 '17,Q2 '17,Q3 '17,Q4 '17,Q1 '18,Q2 '18,Q3 '18,Q4 '18,Q1 '19,Q2 '19,Q3 '19,Q4 '19,Q1 '20
,Revenue,"9,734","12,207","15,683","13,499","15,700","20,343","26,741","24,667","28,571","28,270","46,333","39,186","35,023","35,966","54,512","43,603","35,323","37,472","57,594","45,646","37,432","42,123","74,599","58,010","49,605","51,501","75,872","50,557","42,358","46,852","78,351","52,896","45,408","52,579","88,293","61,137","53,265","62,900","84,310","58,015","53,809","64,040","91,819"
,Cost of revenue,"-5,751","-7,102","-9,272","-7,874","-9,564","-12,831","-16,443","-14,449","-16,649","-16,890","-25,630","-20,622","-20,029","-21,565","-33,452","-27,254","-22,299","-23,601","-35,748","-27,699","-22,697","-26,114","-44,858","-34,354","-29,924","-30,953","-45,449","-30,636","-26,252","-29,039","-48,175","-32,305","-27,920","-32,648","-54,381","-37,715","-32,844","-38,816","-52,279","-36,194","-33,582","-39,727","-56,602"
,Gross Profit,"3,983","5,105","6,411","5,625","6,136","7,512","10,298","10,218","11,922","11,380","20,703","18,564","14,994","14,401","21,060","16,349","13,024","13,871","21,846","17,947","14,735","16,009","29,741","23,656","19,681","20,548","30,423","19,921","16,106","17,813","30,176","20,591","17,488","19,931","33,912","23,422","20,421","24,084","32,031","21,821","20,227","24,313","35,217"
,Operating Expenses,"-1,351","-1,421","-1,686","-1,646","-1,902","-2,065","-2,471","-2,344","-2,543","-2,670","-3,363","-3,180","-3,421","-3,457","-3,850","-3,791","-3,823","-3,841","-4,383","-4,354","-4,453","-4,844","-5,495","-5,378","-5,598","-5,925","-6,252","-5,934","-6,001","-6,052","-6,817","-6,494","-6,720","-6,811","-7,638","-7,528","-7,809","-7,966","-8,685","-8,406","-8,683","-8,688","-9,648"
,Operating Income (Loss),"2,632","3,684","4,725","3,979","4,234","5,447","7,827","7,874","9,379","8,710","17,340","15,384","11,573","10,944","17,210","12,558","9,201","10,030","17,463","13,593","10,282","11,165","24,246","18,278","14,083","14,623","24,171","13,987","10,105","11,761","23,359","14,097","10,768","13,120","26,274","15,894","12,612","16,118","23,346","13,415","11,544","15,625","25,569"
,Non-Operating Income (Loss),60,45,33,50,58,14,136,26,172,81,137,148,288,-51,462,347,234,113,246,225,202,307,170,286,390,439,402,155,364,427,821,587,540,797,756,274,672,303,560,378,367,502,349
,Pretax Income (Loss),"2,692","3,729","4,758","4,029","4,292","5,461","7,963","7,900","9,551","8,791","17,477","15,532","11,861","10,893","17,672","12,905","9,435","10,143","17,709","13,818","10,484","11,472","24,416","18,564","14,473","15,062","24,573","14,142","10,469","12,188","24,180","14,684","11,308","13,917","27,030","16,168","13,284","16,421","23,906","13,793","11,911","16,127","25,918"
,"Income Tax (Expense) Benefit, net",-864,"-1,197","-1,380",-955,"-1,039","-1,153","-1,959","-1,913","-2,243","-2,168","-4,413","-3,910","-3,037","-2,670","-4,594","-3,358","-2,535","-2,631","-4,637","-3,595","-2,736","-3,005","-6,392","-4,995","-3,796","-3,938","-6,212","-3,626","-2,673","-3,174","-6,289","-3,655","-2,591","-3,203","-6,965","-2,346","-1,765","-2,296","-3,941","-2,232","-1,867","-2,441","-3,682"
,Net Income Available to Common Shareholders,"1,828","2,532","3,378","3,074","3,253","4,308","6,004","5,987","7,308","6,623","13,064","11,622","8,824","8,223","13,078","9,547","6,900","7,512","13,072","10,223","7,748","8,467","18,024","13,569","10,677","11,124","18,361","10,516","7,796","9,014","17,891","11,029","8,717","10,714","20,065","13,822","11,519","14,125","19,965","11,561","10,044","13,686","22,236"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,in million USD,Q3 '09,Q4 '09,Q1 '10,Q2 '10,Q3 '10,Q4 '10,Q1 '11,Q2 '11,Q3 '11,Q4 '11,Q1 '12,Q2 '12,Q3 '12,Q4 '12,Q1 '13,Q2 '13,Q3 '13,Q4 '13,Q1 '14,Q2 '14,Q3 '14,Q4 '14,Q1 '15,Q2 '15,Q3 '15,Q4 '15,Q1 '16,Q2 '16,Q3 '16,Q4 '16,Q1 '17,Q2 '17,Q3 '17,Q4 '17,Q1 '18,Q2 '18,Q3 '18,Q4 '18,Q1 '19,Q2 '19,Q3 '19,Q4 '19,Q1 '20
,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cash, Cash Equivalents & Short Term Investments","24,222","23,464","24,796","23,155","24,288","25,620","26,977","29,234","28,395","25,952","30,156","28,538","27,654","29,129","39,820","39,137","42,606","40,546","40,711","41,350","37,805","25,077","32,463","33,096","34,703","41,601","38,074","55,283","61,756","67,155","60,452","67,101","76,759","74,181","77,153","87,940","70,970","66,301","86,427","80,092","94,614","100,557","107,162"
,Accounts & Notes Receivable,"2,686","3,361","3,090","2,886","3,447","5,510","6,027","5,798","6,102","5,369","8,930","7,042","7,657","10,930","11,598","7,084","8,839","13,102","14,200","9,700","10,788","17,460","16,709","10,905","10,370","16,849","12,953","12,229","11,714","15,754","14,057","11,579","12,399","17,874","23,440","14,324","14,104","23,186","18,077","15,085","14,148","22,926","20,970"
,Inventories,380,455,576,638,942,"1,051",885,930,889,776,"1,236","1,102","1,122",791,"1,455","1,245","1,697","1,764","2,122","1,829","1,594","2,111","2,283","2,396","2,042","2,349","2,451","2,281","1,831","2,132","2,712","2,910","3,146","4,855","4,421","7,662","5,936","3,956","4,988","4,884","3,355","4,106","4,097"
,Other Short Term Assets,"7,882","4,275","4,870","5,657","7,356","9,497","10,038","11,035","11,512","12,891","14,449","14,030","15,510","16,803","19,475","15,871","15,077","17,874","23,314","17,662","17,762","23,883","31,948","21,494","23,838","28,579","22,741","17,799","18,460","21,828","26,111","20,400","20,571","31,735","38,796","20,127","24,751","37,896","31,336","23,285","22,856","35,230","31,002"
,Total Current Assets,"35,170","31,555","33,332","32,336","36,033","41,678","43,927","46,997","46,898","44,988","54,771","50,712","51,943","57,653","72,348","63,337","68,219","73,286","80,347","70,541","67,949","68,531","83,403","67,891","70,953","89,378","76,219","87,592","93,761","106,869","103,332","101,990","112,875","128,645","143,810","130,053","115,761","131,339","140,828","123,346","134,973","162,819","163,231"
,"Property, Plant & Equipment, Net","2,653","2,954","3,115","3,504","3,990","4,768","5,868","6,241","6,749","7,777","7,816","8,847","10,487","15,452","15,422","15,026","16,327","16,597","15,488","15,120","17,585","20,624","20,392","20,151","21,149","22,471","22,300","23,203","25,448","27,010","26,510","27,163","29,286","33,783","33,679","35,077","38,117","41,304","39,597","38,746","37,636","37,378","37,031"
,Long Term Investments & Receivables,"6,899","10,528","15,024","18,549","21,551","25,391","32,730","36,533","47,761","55,618","67,445","81,638","89,567","92,122","97,292","105,550","104,014","106,215","118,131","109,239","126,685","130,162","145,492","160,443","168,145","164,065","177,665","177,645","169,764","170,430","185,638","189,740","184,757","194,714","207,944","179,286","172,773","170,799","158,608","145,319","115,996","105,341","99,899"
,Other Long Term Assets,"3,418","2,464","2,455","2,668","3,151","3,346","4,217","5,133","5,350","7,988","8,649","9,737","10,899","10,837","11,026","10,830","11,296","10,902","11,218","11,089","10,301","12,522","12,607","12,709","12,904","14,431","17,100","16,837","16,629","17,377","15,661","15,639","18,255","18,177","21,361","23,086","22,546","22,283","34,686","34,587","33,634","32,978","40,457"
,Total Noncurrent Assets,"12,970","15,946","20,594","24,721","28,692","33,505","42,815","47,907","59,860","71,383","83,910","100,222","110,953","118,411","123,740","131,406","131,637","133,714","144,837","135,448","154,571","163,308","178,491","193,303","202,198","200,967","217,065","217,685","211,841","214,817","227,809","232,542","232,298","246,674","262,984","237,449","233,436","234,386","232,891","218,652","187,266","175,697","177,387"
,Total Assets,"48,140","47,501","53,926","57,057","64,725","75,183","86,742","94,904","106,758","116,371","138,681","150,934","162,896","176,064","196,088","194,743","199,856","207,000","225,184","205,989","222,520","231,839","261,894","261,194","273,151","290,345","293,284","305,277","305,602","321,686","331,141","334,532","345,173","375,319","406,794","367,502","349,197","365,725","373,719","341,998","322,239","338,516","340,618"
,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Payables & Accruals,"8,192","9,453","10,507","9,687","12,921","17,738","20,254","20,736","22,867","23,879","29,721","26,789","27,238","32,589","39,605","28,243","28,986","36,223","45,412","34,898","35,799","48,649","60,725","45,986","49,198","60,671","57,344","48,306","47,138","59,321","62,249","51,669","55,219","44,242","89,266","61,067","63,673","55,888","44,293","30,443","29,115","46,236","45,111"
,Short Term Debt,,,,,,,,,,,,,,,,,,0,,,"2,010","6,308","3,899","3,799","6,999","10,999","9,759","10,498","15,996","11,605","13,992","13,991","18,475","18,473","18,478","20,478","17,472","20,748","21,741","22,429","23,482","16,240","15,214"
,Other Short Term Liabilities,"8,469","2,053","2,590","2,542","2,691","2,984","3,541","3,591","3,992","4,091","4,886","5,247","5,822","5,953","7,274","7,265","7,333","7,435","8,357","8,310","8,396","8,491","8,987","8,944","9,088","8,940","8,989","9,461","8,352","8,080","7,889","7,682","7,608","38,099","8,044","7,775","7,403","39,293","42,249","40,900","37,107","43,242","41,836"
,Total Current Liabilities,"16,661","11,506","13,097","12,229","15,612","20,722","23,795","24,327","26,859","27,970","34,607","32,036","33,060","38,542","46,879","35,508","36,319","43,658","53,769","43,208","46,205","63,448","73,611","58,729","65,285","80,610","76,092","68,265","71,486","79,006","84,130","73,342","81,302","100,814","115,788","89,320","88,548","115,929","108,283","93,772","89,704","105,718","102,161"
,Long Term Debt,,,,,,,,,,,,,,0,,,"16,958","16,960","16,961","16,962","29,030","28,987","32,504","40,072","47,419","53,329","53,204","69,374","68,939","75,427","73,557","84,531","89,864","97,207","103,922","101,362","97,128","93,735","92,989","90,201","84,936","91,807","93,078"
,Other Long Term Liabilities,"5,591","4,355","5,061","5,480","6,002","6,670","8,281","9,100","10,556","11,786","14,020","16,400","18,090","19,312","21,863","23,745","23,225","22,833","24,770","25,640","26,345","27,857","32,451","33,387","34,770","37,051","35,721","37,181","38,636","39,004","41,064","42,577","41,582","43,251","46,885","49,942","48,572","48,914","54,555","52,165","51,143","50,503","55,848"
,Total Noncurrent Liabilities,"5,591","4,355","5,061","5,480","6,002","6,670","8,281","9,100","10,556","11,786","14,020","16,400","18,090","19,312","21,863","23,745","40,183","39,793","41,731","42,602","55,375","56,844","64,955","73,459","82,189","90,380","88,925","106,555","107,575","114,431","114,621","127,108","131,446","140,458","150,807","151,304","145,700","142,649","147,544","142,366","136,079","142,310","148,926"
,Total Liabilities,"22,252","15,861","18,158","17,709","21,614","27,392","32,076","33,427","37,415","39,756","48,627","48,436","51,150","57,854","68,742","59,253","76,502","83,451","95,500","85,810","101,580","120,292","138,566","132,188","147,474","170,990","165,017","174,820","179,061","193,437","198,751","200,450","212,748","241,272","266,595","240,624","234,248","258,578","255,827","236,138","225,783","248,028","251,087"
,Share Capital & Additional Paid-In Capital,"7,957","8,210","8,962","9,553","10,133","10,668","11,502","12,326","12,715","13,331","13,961","14,850","15,573","16,422","17,167","17,954","19,024","19,764","20,559","21,496","22,139","23,313","24,187","25,376","26,327","27,416","28,253","29,484","30,106","31,251","32,144","33,579","34,445","35,867","36,447","38,044","38,624","40,201","40,970","42,801","43,371","45,174","45,972"
,Retained Earnings,"17,878","23,353","26,695","29,670","32,870","37,169","43,050","49,025","56,239","62,841","75,709","87,124","95,641","101,289","109,567","116,572","104,564","104,256","109,431","98,934","98,715","87,152","97,178","100,920","98,252","92,284","101,494","102,021","96,542","96,364","100,001","100,925","98,525","98,330","104,593","91,898","79,436","70,400","80,510","64,558","53,724","45,898","43,977"
,Other Equity,53,77,111,125,108,-46,114,126,389,443,384,524,532,499,612,964,-234,-471,-306,-251,86,"1,082","1,963","2,710","1,098",-345,"-1,480","-1,048",-107,634,245,-422,-545,-150,-841,"-3,064","-3,111","-3,454","-3,588","-1,499",-639,-584,-418
,Equity Before Minority Interest,"25,888","31,640","35,768","39,348","43,111","47,791","54,666","61,477","69,343","76,615","90,054","102,498","111,746","118,210","127,346","135,490","123,354","123,549","129,684","120,179","120,940","111,547","123,328","129,006","125,677","119,355","128,267","130,457","126,541","128,249","132,390","134,082","132,425","134,047","140,199","126,878","114,949","107,147","117,892","105,860","96,456","90,488","89,531"
,Total Equity,"25,888","31,640","35,768","39,348","43,111","47,791","54,666","61,477","69,343","76,615","90,054","102,498","111,746","118,210","127,346","135,490","123,354","123,549","129,684","120,179","120,940","111,547","123,328","129,006","125,677","119,355","128,267","130,457","126,541","128,249","132,390","134,082","132,425","134,047","140,199","126,878","114,949","107,147","117,892","105,860","96,456","90,488","89,531"
,Total Liabilities & Equity,"48,140","47,501","53,926","57,057","64,725","75,183","86,742","94,904","106,758","116,371","138,681","150,934","162,896","176,064","196,088","194,743","199,856","207,000","225,184","205,989","222,520","231,839","261,894","261,194","273,151","290,345","293,284","305,277","305,602","321,686","331,141","334,532","345,173","375,319","406,794","367,502","349,197","365,725","373,719","341,998","322,239","338,516","340,618"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,in million USD,Q3 '09,Q4 '09,Q1 '10,Q2 '10,Q3 '10,Q4 '10,Q1 '11,Q2 '11,Q3 '11,Q4 '11,Q1 '12,Q2 '12,Q3 '12,Q4 '12,Q1 '13,Q2 '13,Q3 '13,Q4 '13,Q1 '14,Q2 '14,Q3 '14,Q4 '14,Q1 '15,Q2 '15,Q3 '15,Q4 '15,Q1 '16,Q2 '16,Q3 '16,Q4 '16,Q1 '17,Q2 '17,Q3 '17,Q4 '17,Q1 '18,Q2 '18,Q3 '18,Q4 '18,Q1 '19,Q2 '19,Q3 '19,Q4 '19,Q1 '20
,Net Income/Starting Line,"1,828","2,532","3,378","3,074","3,253","4,308","6,004","5,987","7,308","6,623","13,064","11,622","8,824","8,223","13,078","9,547","6,900","7,512","13,072","10,223","7,748","8,467","18,024","13,569","10,677","11,124","18,361","10,516","7,796","9,014","17,891","11,029","8,717","10,714","20,065","13,822","11,519","14,125","19,965","11,561","10,044","13,686","22,236"
,Depreciation & Amortization,182,203,209,216,273,329,356,434,481,543,721,740,835,981,"1,588","1,692","1,694","1,783","2,144","1,887","1,946","1,969","2,575","2,479","3,084","3,119","2,954","2,477","2,526","2,548","2,987","2,332","2,354","2,484","2,745","2,739","2,665","2,754","3,395","3,040","2,933","3,179","2,816"
,Non-Cash Items,391,430,630,699,624,366,"1,122","1,027",953,934,"1,876","1,883","1,599",787,"1,724","1,353","1,145",-828,"1,934","1,502","1,819",-45,"3,085",609,"1,797",-138,"2,780","2,746","3,264",844,"2,434","2,652","3,202","2,352","-32,452",710,"2,218","1,830","1,558","1,176","1,457",885,"1,219"
,Change in Working Capital,-131,-55,"1,564","-1,659",651,680,"2,291","-1,229","2,366","2,329","1,893",-268,"-1,069",-855,"7,036",-88,"-1,911","1,441","5,520",-74,"-1,258","2,859","10,038","2,424",-570,-630,"3,368","-4,138","-2,952","4,127","3,922","-3,443","-5,601",199,"37,935","-2,141","-1,914",814,"1,772","-4,622","-2,798","2,160","4,245"
,Cash from Operating Activities,"2,270","3,110","5,781","2,330","4,801","5,683","9,773","6,219","11,108","10,429","17,554","13,977","10,189","9,136","23,426","12,504","7,828","9,908","22,670","13,538","10,255","13,250","33,722","19,081","14,988","13,475","27,463","11,601","10,634","16,533","27,234","12,570","8,672","15,749","28,293","15,130","14,488","19,523","26,690","11,155","11,636","19,910","30,516"
,Change in Fixed Assets & Intangibles,-272,-472,-381,-301,-626,-813,"-1,263",-656,-962,"-4,571","-1,429","-1,509","-2,963","-3,501","-2,455","-2,299","-2,016","-2,306","-2,044","-1,486","-2,431","-3,852","-3,265","-2,476","-2,089","-3,658","-4,006","-2,599","-2,905","-3,224","-3,420","-2,889","-2,277","-3,865","-2,810","-4,195","-3,267","-3,041","-3,355","-2,363","-2,000","-2,777","-2,107"
,Net Change in Long Term Investment,"-1,060","-3,186","-3,507",463,"-4,468","-3,563","-9,443",-901,"-14,092","-8,028","-15,665","-12,603","-9,339",-820,"-10,730","-12,002","-4,252","2,942","-12,539","13,289","-19,474","9,697","-17,942","-19,786","-9,245","2,556","-16,186","-10,983","-1,434","-3,419","-15,581","-11,357",-962,"-5,768","-10,564","32,778","7,769",509,"9,422","15,749","28,594","2,694","-10,396"
,Net Cash From Acquisitions & Divestitures,0,0,,-325,-290,-23,,0,0,-244,0,-350,0,0,-284,-15,-144,-53,-525,-34,-339,"-2,867",-23,-92,-115,-113,-86,-54,-6,-151,-17,-50,-181,-81,-173,-132,-126,-290,-167,-124,-320,-13,-958
,Other Investing Activities,-7,-113,-70,80,-46,16,-23,35,22,-293,-34,-14,-8,8,-52,-41,-95,28,5,-28,30,19,65,23,46,-160,-172,-24,-125,-603,-104,94,240,-228,-43,259,-429,-179,-56,86,"1,228",-702,-207
,Cash from Investing Activities,"-1,339","-3,771","-3,958",-83,"-5,430","-4,383","-10,729","-1,522","-15,032","-13,136","-17,128","-14,476","-12,310","-4,313","-13,521","-14,357","-6,507",611,"-15,103","11,741","-22,214","2,997","-21,165","-22,331","-11,403","-1,375","-20,450","-13,660","-4,470","-7,397","-19,122","-14,202","-3,180","-9,942","-13,590","28,710","3,947","-3,001","5,844","13,348","27,502",-798,"-13,668"
,Dividends Paid,,,,,,0,,,,0,0,0,0,"-2,488","-2,493","-2,491","-2,811","-2,769","-2,769","-2,661","-2,867","-2,829","-2,801","-2,743","-3,053","-2,964","-2,969","-2,902","-3,187","-3,092","-3,130","-3,004","-3,365","-3,270","-3,339","-3,190","-3,653","-3,530","-3,568","-3,443","-3,629","-3,479","-3,539"
,Cash From (Repayment of) Debt,,,,,,,,,,0,,,0,0,,,"16,896",0,0,0,"13,970","4,296","1,076","7,748","10,680","9,801","-1,240","16,321","4,395","2,581","2,385","10,469","9,237","6,923","6,971",-502,"-6,010",-27,6,"-2,506","-5,026",-293,231
,Cash From (Repurchase of) Equity,166,187,374,160,199,179,208,286,83,254,91,286,56,232,"-1,874",199,"-15,940","-4,715","-4,895","-17,764","-4,906","-16,705","-4,950","-6,741","-9,985","-13,034","-6,862","-6,421","-10,166","-5,778","-10,851","-6,888","-7,092","-7,514","-10,095","-22,429","-20,782","-18,763","-8,796","-23,312","-16,954","-17,054","-20,704"
,Other Financing Activities,42,132,149,2,117,77,221,261,-46,177,-22,24,-111,234,-130,44,-271,-24,-85,18,-210,-142,-248,-3,-397,-102,-373,-114,-483,-600,-629,-159,-858,-228,"-1,038",-151,"-1,078",-260,"-1,318",-196,"-1,195",-213,"-1,395"
,Cash from Financing Activities,208,319,523,162,316,256,429,547,37,431,69,310,-55,"-2,022","-4,497","-2,248","-2,126","-7,508","-7,749","-20,407","5,987","-15,380","-6,923","-1,739","-2,755","-6,299","-11,444","6,884","-9,441","-6,889","-12,225",418,"-2,078","-4,089","-7,501","-26,272","-31,523","-22,580","-13,676","-29,457","-26,804","-21,039","-25,407"
,Net Changes in Cash,"1,139",-342,"2,346","2,409",-313,"1,556",-527,"5,244","-3,887","-2,276",495,-189,"-2,176","2,801","5,408","-4,101",-805,"3,011",-182,"4,872","-5,972",867,"5,634","-4,989",830,"5,801","-4,431","4,825","-3,277","2,247","-4,113","-1,214","3,414","1,718","7,202","17,568","-13,088","-6,058","18,858","-4,954","12,334","-1,927","-8,559"